predictedValue,RealValue,ErrorPercent
'0.6438089024033486','2','67.80955487983256'
'0.5744039467437495','1','42.55960532562505'
'0.9093810091260698','2','54.53094954369651'
'0.5928395436623686','2','70.35802281688157'
'1.8161304818228179','1','81.61304818228179'
'0.7070550744385349','1','29.294492556146512'
'1.3714866279704714','4','65.71283430073822'
'0.5573630806295639','2','72.1318459685218'
'0.5618249529372777','1','43.817504706272224'
'0.9573396880190448','1','4.266031198095521'
'0.7829175980402512','1','21.70824019597488'
'0.8568824133897464','2','57.15587933051268'
'0.8124591176116015','1','18.75408823883985'
'0.9993772625558757','1','0.062273744412433274'
'1.8161304818228179','1','81.61304818228179'
'1.1491681221146326','1','14.91681221146326'
'1.1226407705464378','2','43.867961472678104'
'0.9282133542512255','2','53.589332287438715'
'0.7433271258717943','1','25.66728741282057'
'1.0659611642127846','1','6.596116421278464'
'1.058260432831262','1','5.826043283126192'
'0.9218139956252611','1','7.818600437473888'
'0.7158064180878426','2','64.20967909560787'
'1.2873026669281702','2','35.63486665359149'
'1.06748811331702','3','64.41706288943266'
'1.1258124397528253','2','43.709378012358734'
'1.0333478981734499','1','3.3347898173449853'
'0.669109167424799','2','66.54454162876004'
'1.6047539124073662','1','60.47539124073662'
'1.5563066391755314','1','55.630663917553136'
'1.1064389574639026','2','44.67805212680487'
'1.0224548739217507','2','48.87725630391246'
'0.8379869414523624','1','16.20130585476376'
'0.4731420646484147','1','52.68579353515853'
'0.6307452281048758','2','68.46273859475622'
'0.7499503303161617','1','25.004966968383833'
'0.9397582756186407','1','6.024172438135933'
'0.7499503303161617','1','25.004966968383833'
'1.3953561609654674','2','30.232191951726627'
'1.484907854746401','1','48.4907854746401'
'1.1572907554384575','1','15.729075543845749'
'0.9575739627403627','1','4.242603725963734'
'1.070243397114785','3','64.32522009617384'
'1.0689872928743185','1','6.898729287431848'
'1.1260037371742808','1','12.60037371742808'
'0.6987614797466566','1','30.12385202533434'
'0.8740337430118268','1','12.59662569881732'
'1.2152204201147876','1','21.52204201147876'
'1.6843391151562739','3','43.85536282812421'
'1.2551471103364558','4','68.62132224158862'
'0.7433271258717943','1','25.66728741282057'
'0.9395019771567079','1','6.049802284329209'
'0.7387029883179763','2','63.06485058410119'
'0.7182328932293012','1','28.176710677069885'
'1.3660822677990234','3','54.46392440669921'
'0.6925131638092941','1','30.748683619070594'
'0.8985882096270232','2','55.07058951864884'
'1.0679230402268414','2','46.60384798865793'
'1.699707627972347','3','43.343079067588434'
'0.660456399909943','3','77.98478666966857'
'0.5715583224001102','1','42.844167759988984'
'0.6891008835717009','1','31.089911642829914'
'0.753093025822539','2','62.34534870887305'
'0.9397582756186407','1','6.024172438135933'
'0.753093025822539','1','24.6906974177461'
'1.2962572392751615','1','29.625723927516145'
'0.8620325005665749','3','71.2655833144475'
'0.5126509456563219','1','48.73490543436782'
'0.5760661277365189','1','42.39338722634811'
'0.7204272533453235','3','75.98575822182255'
'0.9757993143514063','1','2.420068564859368'
'1.0659611642127846','1','6.596116421278464'
'1.1293139063923416','1','12.931390639234163'
'1.3018100916563098','1','30.18100916563098'
'0.8318083809940504','2','58.40958095029748'
'1.07494419658914','1','7.494419658913998'
'1.36096343150151','1','36.096343150151'
'1.1791565290455213','2','41.042173547723934'
'1.4729513269275805','1','47.295132692758045'
'0.8396527447853016','3','72.01157517382329'
'1.3427165916028527','2','32.864170419857366'
'0.8644339121708366','1','13.556608782916335'
'0.9439181977923924','1','5.608180220760762'
'0.6270133516911958','1','37.298664830880426'
'0.6270133516911958','3','79.0995549436268'
'0.7387029883179763','1','26.129701168202367'
'1.144044954147795','1','14.404495414779506'
'1.2018910092921193','1','20.189100929211932'
'0.9744436009853321','2','51.277819950733395'
'0.9837644978348725','1','1.623550216512748'
'0.7659081155401224','1','23.40918844598776'
'0.5189614310100354','1','48.103856898996455'
'1.1572907554384575','1','15.729075543845749'
'1.0261079465305856','1','2.610794653058557'
'0.6823734127284011','2','65.88132936357994'
'0.6122140381095175','3','79.59286539634941'
'0.9575739627403627','1','4.242603725963734'
'1.028983462637055','1','2.898346263705509'
'1.1237780695920252','1','12.37780695920252'
'1.1359410892385182','1','13.594108923851822'
'0.7226930293460785','1','27.73069706539215'
'0.5851226767377803','1','41.48773232622197'
'0.5715583224001102','2','71.42208387999449'
'1.172216802887301','1','17.221680288730102'
'0.9400054198513963','1','5.9994580148603704'
'1.0679230402268414','1','6.792304022684137'
'1.2727933336457382','1','27.279333364573823'
'0.9927156557956711','1','0.7284344204328885'
'0.9279540368210987','1','7.204596317890132'
'1.2499384046954318','1','24.993840469543184'
'0.9501074270201815','1','4.989257297981853'
'1.4691140065944612','1','46.91140065944612'
'1.0028069054420004','1','0.28069054420003514'
'1.1711000402306644','1','17.110004023066438'
'0.6432802676579812','1','35.67197323420188'
'1.1373802119711567','2','43.130989401442164'
'1.4119517965799895','7','79.8292600488573'
'0.8740337430118268','1','12.59662569881732'
'0.7622211770354312','2','61.88894114822844'
'0.6808238588980707','2','65.95880705509647'
'0.7433271258717943','8','90.70841092660257'
'1.0594978410642248','3','64.68340529785918'
'0.660456399909943','2','66.97718000450286'
'0.8212314607011597','1','17.876853929884028'
'0.7318698235261067','1','26.813017647389326'
'1.7886715592391274','2','10.566422038043633'
'0.5123990421887019','2','74.38004789056491'
'0.6084774815687936','1','39.152251843120645'
'1.0367145360284664','3','65.44284879905112'
'1.070243397114785','1','7.024339711478489'
'0.8985882096270232','2','55.07058951864884'
'0.9501074270201815','1','4.989257297981853'
'1.2962572392751615','2','35.187138036241926'
'0.9244976729129701','1','7.550232708702986'
'1.439014666235046','1','43.901466623504604'
'1.1293139063923416','1','12.931390639234163'
'0.9397582756186407','3','68.6747241460453'
'1.1864879268040431','1','18.648792680404313'
'1.2152204201147876','4','69.6194894971303'
'0.6987614797466566','2','65.06192601266717'
'0.9097914708036356','2','54.51042645981822'
'0.5851226767377803','2','70.743866163111'
'0.817402527306008','3','72.75324908979974'
'0.8318083809940504','1','16.81916190059496'
'0.7659081155401224','3','74.46972948199591'
'1.0679230402268414','1','6.792304022684137'
'0.8844761782437698','1','11.552382175623022'
'1.3438330728489036','3','55.205564238369874'
'1.159516384001278','5','76.80967231997444'
'1.0594978410642248','1','5.949784106422484'
'1.2137527243560848','2','39.31236378219576'
'1.1711000402306644','1','17.110004023066438'
'0.6823734127284011','2','65.88132936357994'
'0.9593628903297884','3','68.02123698900706'
'1.4705042266426398','1','47.05042266426398'
'0.5278691981557397','2','73.60654009221301'
'0.5375010141709852','1','46.24989858290148'
'1.2018910092921193','3','59.936966356929354'
'1.199098545162564','1','19.9098545162564'
'1.1642619074241456','1','16.42619074241456'
'1.8161304818228179','2','9.193475908859106'
'1.3316469155316475','2','33.41765422341763'
'0.7226930293460785','2','63.865348532696075'
'1.2205784178647088','2','38.97107910676456'
'0.7492026141129424','1','25.07973858870576'
'0.8568824133897464','1','14.311758661025365'
'0.8616465645276372','3','71.27844784907876'
'0.9218139956252611','2','53.909300218736945'
'0.5760661277365189','1','42.39338722634811'
'0.8290456877692287','1','17.095431223077128'
'0.8348922662360685','1','16.51077337639315'
'0.5189614310100354','3','82.7012856329988'
'1.1931804455141481','5','76.13639108971704'
'1.2727933336457382','1','27.279333364573823'
'0.6122140381095175','1','38.77859618904825'
'1.1854371918724982','2','40.72814040637509'
'0.6890810640582309','3','77.03063119805897'
'1.1771026829037297','1','17.710268290372966'
'1.080455844666851','1','8.045584466685106'
'0.7132114754722585','1','28.67885245277415'
'0.669109167424799','2','66.54454162876004'
'0.605546311087115','2','69.72268444564425'
'1.1710377952061855','3','60.96540682646049'
'1.4782814899991257','1','47.82814899991257'
'0.8191381132105171','4','79.52154716973708'
'1.144044954147795','3','61.865168195073494'
'0.7158064180878426','1','28.41935819121574'
'1.224763877716278','3','59.17453740945741'
'1.2157730805752154','1','21.577308057521538'
'0.9970754724800422','2','50.146226375997884'
'0.8075415015824862','1','19.245849841751383'
'1.0786793467026352','1','7.867934670263521'
'0.589079392380572','2','70.5460303809714'
'0.553279097875846','2','72.3360451062077'
'0.8348922662360685','1','16.51077337639315'
'1.1642619074241456','1','16.42619074241456'
'1.3654927498241027','1','36.549274982410275'
'0.6925131638092941','2','65.3743418095353'
'1.1791565290455213','1','17.915652904552125'
'1.36096343150151','2','31.9518284249245'
'0.4884000477580369','3','83.71999840806544'
'0.8212314607011597','2','58.93842696494202'
'0.7492026141129424','2','62.539869294352876'
'1.2727933336457382','1','27.279333364573823'
'1.0683760314421842','1','6.837603144218418'
'1.5563066391755314','1','55.630663917553136'
'0.5992408236047168','2','70.03795881976416'
'1.159516384001278','3','61.34945386662406'
'1.5563066391755314','1','55.630663917553136'
'1.0683760314421842','1','6.837603144218418'
'1.1213096571303764','1','12.130965713037645'
'0.7008527868682649','1','29.91472131317351'
'0.57175073878985','1','42.824926121015'
'0.8816780627214553','1','11.832193727854467'
'0.7586529820921971','2','62.06735089539015'
'0.5992408236047168','1','40.07591763952833'
'1.3018100916563098','1','30.18100916563098'
'1.0510687322876073','2','47.44656338561963'
'1.0135288479329605','1','1.3528847932960497'
'0.7070550744385349','2','64.64724627807325'
'0.8378289538922016','2','58.108552305389914'
'0.33023760466008845','2','83.48811976699557'
'0.9791283027977232','1','2.0871697202276773'
'0.5441531867771142','1','45.58468132228858'
'0.7323113479781966','1','26.768865202180336'
'0.7925428671926458','3','73.5819044269118'
'0.5471384838347015','1','45.28615161652985'
'1.072013393529355','1','7.2013393529354985'
'0.9967181567208371','1','0.32818432791629215'
'1.1864879268040431','1','18.648792680404313'
'1.144044954147795','1','14.404495414779506'
'1.06748811331702','4','73.3127971670745'
'1.4175417080157986','1','41.75417080157986'
'0.8068227408517694','2','59.65886295741153'
'1.1711000402306644','1','17.110004023066438'
'0.6260163235334122','2','68.69918382332939'
'0.5441531867771142','1','45.58468132228858'
'1.4729513269275805','1','47.295132692758045'
'0.9117285934638262','1','8.827140653617382'
'1.0852124446521325','1','8.52124446521325'
'1.0775876656159622','1','7.75876656159622'
'0.6849908346847714','4','82.87522913288072'
'1.4785880738264032','3','50.71373087245322'
'1.0913231434251809','1','9.13231434251809'
'1.8399372169009203','1','83.99372169009203'
'0.8644339121708366','2','56.778304391458164'
'1.0261079465305856','1','2.610794653058557'
'1.016126287849679','2','49.193685607516045'
'0.605546311087115','2','69.72268444564425'
'1.3316469155316475','1','33.16469155316475'
'1.2038471374685613','3','59.87176208438129'
'0.7592999265620797','1','24.07000734379203'
'1.0659611642127846','1','6.596116421278464'
'1.4592284296425253','2','27.038578517873734'
'0.9742630881497503','2','51.286845592512485'
'1.2130638818528556','1','21.306388185285563'
'0.5309043867719233','1','46.90956132280767'
'1.2157730805752154','1','21.577308057521538'
'1.2208037043894','3','59.30654318702'
'1.2070448055240317','2','39.647759723798416'
'1.4658313841265889','2','26.70843079367056'
'0.6069083060124166','2','69.65458469937917'
'1.1711000402306644','1','17.110004023066438'
'1.334277615530327','5','73.31444768939346'
'0.5386746482816136','1','46.13253517183864'
'0.47467573392537354','1','52.53242660746265'
'0.6808238588980707','2','65.95880705509647'
'0.9638890690661136','1','3.61109309338864'
'0.662136482922849','1','33.7863517077151'
'1.0657130337117957','2','46.714348314410216'
'1.3468032048655099','1','34.68032048655098'
'0.7733878543232502','2','61.33060728383749'
'0.6123716026090609','4','84.69070993477348'
'0.6706831815312767','2','66.46584092343618'
'0.5928395436623686','1','40.716045633763144'
'1.3964235756309904','1','39.64235756309904'
'0.6696022131261914','1','33.03977868738086'
'0.5123990421887019','1','48.760095781129806'
'0.8739515675649867','1','12.604843243501328'
'0.5744039467437495','1','42.55960532562505'
'1.6603161079166053','1','66.03161079166054'
'1.1226407705464378','1','12.264077054643785'
'1.3953561609654674','1','39.53561609654675'
'1.016126287849679','1','1.6126287849679066'
'1.5574053640724497','1','55.74053640724497'
'1.3804313723780997','3','53.985620920730014'
'1.1268423649704002','3','62.43858783431999'
'0.7219759322878614','1','27.80240677121386'
'1.21750999651498','1','21.750999651498006'
'1.3232646262739594','2','33.83676868630203'
'0.9485081900742505','1','5.149180992574953'
'1.4705042266426398','2','26.47478866786801'
'1.0605798266179078','1','6.057982661790784'
'0.47467573392537354','1','52.53242660746265'
'0.9501074270201815','2','52.494628648990926'
'0.8770720101407259','1','12.292798985927412'
'0.8075415015824862','1','19.245849841751383'
'0.9218139956252611','1','7.818600437473888'
'0.9067448912923406','1','9.32551087076594'
'1.8161304818228179','2','9.193475908859106'
'0.5922276765487571','1','40.77723234512429'
'0.538341077603695','3','82.05529741321017'
'0.9397582756186407','2','53.01208621906797'
'1.3427165916028527','1','34.271659160285274'
'1.4262356739737716','1','42.62356739737716'
'0.7219759322878614','1','27.80240677121386'
'1.0662505306152834','1','6.625053061528341'
'0.9040699318282512','3','69.86433560572496'
'1.193360824146042','1','19.336082414604206'
'0.9927156557956711','5','80.14568688408659'
'0.8443144202811117','1','15.56855797188883'
'1.1572907554384575','1','15.729075543845749'
'0.9040699318282512','2','54.79650340858744'
'0.9279540368210987','1','7.204596317890132'
'1.2217881972617388','1','22.17881972617388'
'0.8804271913514284','2','55.97864043242857'
'0.790030732476378','1','20.9969267523622'
'0.753093025822539','1','24.6906974177461'
'0.9742630881497503','3','67.52456372834166'
'0.8878176390305963','1','11.21823609694037'
'1.1185014915767149','1','11.850149157671485'
'0.8443144202811117','3','71.85618599062961'
'0.935233108987565','1','6.476689101243505'
'0.669109167424799','1','33.0890832575201'
'1.2300376001864788','6','79.49937333022535'
'1.1711000402306644','1','17.110004023066438'
'0.7843981434129067','2','60.78009282935466'
'0.469418463218781','3','84.3527178927073'
'0.8804271913514284','1','11.957280864857156'
'1.334277615530327','1','33.42776155303271'
'0.8574526061207952','1','14.254739387920479'
'0.8616465645276372','2','56.91767177361814'
'1.0028069054420004','1','0.28069054420003514'
'0.8910485126878194','3','70.29838291040602'
'1.1373802119711567','1','13.738021197115668'
'0.5309043867719233','3','82.30318710760255'
'1.1635865559829985','1','16.358655598299855'
'0.8844761782437698','2','55.77619108781151'
'1.470119973300945','2','26.494001334952756'
'0.9355729546792224','1','6.442704532077759'
'1.6843391151562739','3','43.85536282812421'
'1.0659611642127846','2','46.70194178936077'
'0.9400054198513963','1','5.9994580148603704'
'1.203076275798633','1','20.307627579863308'
'1.2070448055240317','2','39.647759723798416'
'0.5870523558429737','1','41.29476441570263'
'0.6696022131261914','1','33.03977868738086'
'0.9501074270201815','3','68.32975243266061'
'0.5593263344600268','2','72.03368327699866'
'1.3964235756309904','2','30.17882121845048'
'0.5730638204201915','1','42.69361795798085'
'1.041751931525409','1','4.17519315254089'
'1.484907854746401','1','48.4907854746401'
'0.6808238588980707','1','31.917614110192925'
'0.9573396880190448','1','4.266031198095521'
'1.1293139063923416','1','12.931390639234163'
'0.8844761782437698','2','55.77619108781151'
'0.680321698765235','2','65.98391506173826'
'1.0367145360284664','1','3.6714536028466416'
'1.0656401835767377','1','6.564018357673773'
'0.7622211770354312','1','23.777882296456877'
'0.6101340000110711','1','38.98659999889289'
'1.4785880738264032','1','47.85880738264032'
'1.3660822677990234','1','36.60822677990234'
'1.1642619074241456','1','16.42619074241456'
'0.7396553942949702','1','26.034460570502983'
'0.9742630881497503','2','51.286845592512485'
'0.802217823954176','1','19.778217604582405'
'0.469418463218781','2','76.52907683906095'
'1.1237780695920252','1','12.37780695920252'
'0.9670655342893438','1','3.293446571065617'
'0.8480840913332499','1','15.191590866675009'
'0.4884000477580369','3','83.71999840806544'
'1.193360824146042','4','70.16597939634894'
'0.9927156557956711','3','66.9094781401443'
'0.9837644978348725','3','67.2078500721709'
'1.2542414120324892','2','37.28792939837554'
'0.7148921737618108','3','76.1702608746063'
'1.014690867006327','1','1.4690867006327046'
'1.1359410892385182','4','71.60147276903704'
'0.9818778690094856','1','1.8122130990514407'
'1.224763877716278','3','59.17453740945741'
'1.041751931525409','1','4.17519315254089'
'1.2130638818528556','2','39.34680590735722'
'0.6696022131261914','2','66.51988934369044'
'1.334277615530327','1','33.42776155303271'
'1.0922104028020787','2','45.38947985989606'
'1.1293139063923416','1','12.931390639234163'
'1.4782814899991257','1','47.82814899991257'
'0.5309043867719233','3','82.30318710760255'
'0.9476857168020716','1','5.231428319792841'
'1.07494419658914','2','46.252790170543'
'1.06748811331702','1','6.748811331701998'
'1.1791565290455213','1','17.915652904552125'
'0.8379869414523624','1','16.20130585476376'
'0.6111257403457389','1','38.88742596542612'
'1.36096343150151','2','31.9518284249245'
'0.6084774815687936','1','39.152251843120645'
'0.8770720101407259','1','12.292798985927412'
'1.0715386560515665','2','46.42306719742167'
'0.6101340000110711','1','38.98659999889289'
'1.3316469155316475','3','55.61176948227842'
'1.1213096571303764','1','12.130965713037645'
'0.9638890690661136','3','67.87036436446287'
'1.3232646262739594','1','32.326462627395934'
'1.2551471103364558','1','25.514711033645575'
'1.058260432831262','2','47.0869783584369'
'1.224763877716278','1','22.476387771627792'
'1.199098545162564','1','19.9098545162564'
'1.0888900244844582','1','8.889002448445815'
'0.9818643033103117','1','1.8135696689688285'
'1.2893015787046833','1','28.93015787046833'
'0.935233108987565','1','6.476689101243505'
'1.100173670866489','3','63.32754430445037'
'0.6122140381095175','1','38.77859618904825'
'0.9573396880190448','1','4.266031198095521'
'0.5573630806295639','1','44.26369193704362'
'1.1791565290455213','1','17.915652904552125'
'1.072013393529355','1','7.2013393529354985'
'1.3438330728489036','1','34.383307284890364'
'1.1064389574639026','1','10.643895746390264'
'1.5108470608474538','1','51.08470608474538'
'1.0767524104349808','1','7.675241043498082'
'0.589079392380572','1','41.0920607619428'
'1.1854371918724982','1','18.54371918724982'
'0.8739515675649867','1','12.604843243501328'
'1.1301063699243168','2','43.49468150378416'
'0.935233108987565','1','6.476689101243505'
'0.8157113426935503','1','18.428865730644972'
'0.7396553942949702','1','26.034460570502983'
'1.1570402497014238','3','61.431991676619205'
'0.5471384838347015','1','45.28615161652985'
'0.9244976729129701','1','7.550232708702986'
'1.199098545162564','1','19.9098545162564'
'1.1237780695920252','1','12.37780695920252'
'0.8480840913332499','3','71.73053028889167'
'0.680321698765235','1','31.967830123476503'
'0.8568824133897464','1','14.311758661025365'
'1.0644887677734567','1','6.448876777345669'
'1.070243397114785','3','64.32522009617384'
'0.8396527447853016','1','16.034725521469838'
'1.6603161079166053','1','66.03161079166054'
'1.0028069054420004','1','0.28069054420003514'
'1.133584993121649','1','13.358499312164906'
'1.4691140065944612','2','26.54429967027694'
'0.8574526061207952','1','14.254739387920479'
'0.5715583224001102','1','42.844167759988984'
'1.6843391151562739','3','43.85536282812421'
'0.7869638399805691','1','21.303616001943094'
'0.8770720101407259','3','70.76426632864248'
'0.7318698235261067','1','26.813017647389326'
'0.9757993143514063','5','80.48401371297187'
'1.1998300142098572','2','40.008499289507135'
'0.7829175980402512','1','21.70824019597488'
'0.5618249529372777','1','43.817504706272224'
'1.3654927498241027','1','36.549274982410275'
'1.1064389574639026','1','10.643895746390264'
'1.367953305504712','1','36.79533055047119'
'0.9218139956252611','1','7.818600437473888'
'0.7182328932293012','1','28.176710677069885'
'0.9400054198513963','1','5.9994580148603704'
'0.9936889273637414','1','0.631107263625863'
'0.7070550744385349','1','29.294492556146512'
'0.33023760466008845','1','66.97623953399116'
'0.8378289538922016','2','58.108552305389914'
'0.9744436009853321','1','2.5556399014667885'
'0.9670655342893438','3','67.76448219035521'
'1.014690867006327','2','49.26545664968365'
'0.8740337430118268','1','12.59662569881732'
'1.0650522457677345','1','6.50522457677345'
'1.21750999651498','3','59.41633344950067'
'1.159516384001278','2','42.0241807999361'
'0.9818643033103117','3','67.27118988965627'
'0.9837644978348725','2','50.81177510825638'
'1.36096343150151','2','31.9518284249245'
'0.790030732476378','6','86.8328211253937'
'1.6603161079166053','4','58.492097302084865'
'1.4705042266426398','2','26.47478866786801'
'0.642354040653872','1','35.7645959346128'
'1.6047539124073662','2','19.76230437963169'
'0.8046271479219604','1','19.537285207803954'
'1.2152204201147876','2','39.23897899426062'
'1.3468032048655099','1','34.68032048655098'
'0.9837644978348725','1','1.623550216512748'
'1.3175645024954183','2','34.121774875229086'
'1.1111564766434305','1','11.115647664343054'
'0.8985882096270232','1','10.141179037297675'
'0.5618249529372777','1','43.817504706272224'
'0.9791283027977232','1','2.0871697202276773'
'1.1185014915767149','1','11.850149157671485'
'0.5730638204201915','1','42.69361795798085'
'0.7132114754722585','1','28.67885245277415'
'1.5108470608474538','2','24.45764695762731'
'0.8816780627214553','1','11.832193727854467'
'0.9573396880190448','1','4.266031198095521'
'1.0662505306152834','2','46.687473469235826'
'1.6843391151562739','2','15.783044242186307'
'0.5760661277365189','1','42.39338722634811'
'0.8568824133897464','1','14.311758661025365'
'1.199098545162564','1','19.9098545162564'
'0.7226930293460785','1','27.73069706539215'
'0.7204272533453235','1','27.957274665467647'
'0.660456399909943','2','66.97718000450286'
'1.240194684905283','1','24.019468490528297'
'1.1720930200864443','1','17.209302008644435'
'0.9967181567208371','1','0.32818432791629215'
'0.6925131638092941','1','30.748683619070594'
'1.3032160962653778','2','34.83919518673111'
'1.2499384046954318','1','24.993840469543184'
'1.4691140065944612','1','46.91140065944612'
'0.9934391058753483','2','50.328044706232575'
'0.5495852583182652','3','81.68049138939116'
'0.5301237234632998','2','73.49381382683501'
'1.3676333129096316','1','36.763331290963166'
'1.2217881972617388','1','22.17881972617388'
'0.538341077603695','2','73.08294611981525'
'1.5574053640724497','1','55.74053640724497'
'1.334277615530327','1','33.42776155303271'
'0.4731420646484147','2','76.34289676757926'
'1.2137527243560848','1','21.375272435608483'
'0.6987614797466566','1','30.12385202533434'
'0.8313657252958475','1','16.86342747041525'
'0.5922276765487571','3','80.25907744837477'
'0.9593628903297884','1','4.063710967021161'
'1.100173670866489','3','63.32754430445037'
'1.203076275798633','1','20.307627579863308'
'0.5992408236047168','1','40.07591763952833'
'1.0644887677734567','1','6.448876777345669'
'0.8891039523297907','2','55.54480238351047'
'1.4658313841265889','1','46.58313841265888'
'0.6270133516911958','1','37.298664830880426'
'1.2885599068817535','2','35.57200465591232'
'0.9015872853182576','1','9.84127146817424'
'1.100173670866489','1','10.01736708664891'
'1.1570402497014238','1','15.704024970142383'
'1.058260432831262','2','47.0869783584369'
'0.6280484200601246','1','37.195157993987536'
'1.4479672393633611','1','44.796723936336114'
'1.1491681221146326','1','14.91681221146326'
'0.8985882096270232','1','10.141179037297675'
'1.0644887677734567','1','6.448876777345669'
'0.7843981434129067','1','21.56018565870933'
'1.2152204201147876','1','21.52204201147876'
'0.8396527447853016','1','16.034725521469838'
'1.0333478981734499','2','48.33260509132751'
'1.2962572392751615','1','29.625723927516145'
'0.8421749717257567','1','15.782502827424327'
'1.1720930200864443','3','60.93023266378519'
'1.1359410892385182','1','13.594108923851822'
'1.0715386560515665','1','7.153865605156651'
'1.1258124397528253','2','43.709378012358734'
'1.2217881972617388','1','22.17881972617388'
'0.553279097875846','2','72.3360451062077'
'0.8075415015824862','3','73.08194994725045'
'0.9485081900742505','1','5.149180992574953'
'1.3953561609654674','1','39.53561609654675'
'1.699707627972347','2','15.014618601382645'
'0.9015872853182576','2','54.92063573408712'
'0.8891039523297907','2','55.54480238351047'
'0.6997144774821235','1','30.028552251787655'
'1.3427165916028527','1','34.271659160285274'
'1.014690867006327','7','85.5044161856239'
'1.4262356739737716','1','42.62356739737716'
'1.1301063699243168','1','13.010636992431678'
'0.4884000477580369','1','51.15999522419631'
'0.6438089024033486','1','35.619109759665136'
'1.2873026669281702','1','28.73026669281702'
'1.3427165916028527','3','55.24278027990491'
'1.058260432831262','1','5.826043283126192'
'1.100173670866489','1','10.01736708664891'
'1.017035402387015','1','1.7035402387014953'
'0.8704108932160444','1','12.958910678395563'
'0.7592999265620797','2','62.035003671896014'
'1.4128120610290946','1','41.281206102909465'
'0.5419059533611446','2','72.90470233194277'
'1.0913231434251809','1','9.13231434251809'
'1.2542414120324892','1','25.42414120324892'
'0.7070550744385349','1','29.294492556146512'
'1.470119973300945','2','26.494001334952756'
'1.3175645024954183','1','31.756450249541835'
'0.6069083060124166','1','39.309169398758335'
'1.2208037043894','2','38.95981478053'
'1.0281846669396961','1','2.8184666939696124'
'0.9439181977923924','1','5.608180220760762'
'0.6922436585508325','1','30.77563414491675'
'1.4128120610290946','2','29.359396948545267'
'1.2217881972617388','1','22.17881972617388'
'0.5417408964569708','1','45.82591035430292'
'1.4691140065944612','2','26.54429967027694'
'0.6987614797466566','3','76.70795067511143'
'0.6688991081738779','1','33.110089182612214'
'0.6084774815687936','4','84.78806296078017'
'0.8443144202811117','1','15.56855797188883'
'0.9005865249314073','1','9.941347506859266'
'0.7008527868682649','1','29.91472131317351'
'1.3804313723780997','2','30.978431381095017'
'1.6843391151562739','1','68.43391151562739'
'0.5386746482816136','1','46.13253517183864'
'0.9355729546792224','4','76.61067613301944'
'1.4262356739737716','1','42.62356739737716'
'0.8831295898606257','2','55.843520506968716'
'0.9279540368210987','1','7.204596317890132'
'0.5189614310100354','2','74.05192844949823'
'1.1931804455141481','1','19.318044551414815'
'0.7733878543232502','1','22.661214567674982'
'0.8634148143752911','1','13.658518562470888'
'1.0028069054420004','1','0.28069054420003514'
'0.6925720564929477','3','76.91426478356841'
'1.2893015787046833','1','28.93015787046833'
'0.589079392380572','1','41.0920607619428'
'0.6797999981487393','2','66.01000009256303'
'0.8878176390305963','1','11.21823609694037'
'0.662136482922849','1','33.7863517077151'
'1.0385017014965563','1','3.8501701496556295'
'1.07494419658914','7','84.64365433444085'
'0.6808238588980707','1','31.917614110192925'
'0.9476857168020716','1','5.231428319792841'
'1.0683760314421842','1','6.837603144218418'
'0.7204272533453235','1','27.957274665467647'
'1.240194684905283','1','24.019468490528297'
'1.1710377952061855','1','17.103779520618545'
'0.8620325005665749','1','13.796749943342512'
'0.6260163235334122','1','37.398367646658784'
'0.8910485126878194','2','55.44757436560903'
'0.8093074525770314','1','19.06925474229686'
'0.790030732476378','3','73.6656422507874'
'0.7240781064929152','2','63.79609467535424'
'0.9744436009853321','1','2.5556399014667885'
'0.8844761782437698','1','11.552382175623022'
'0.8679597428441795','1','13.204025715582047'
'1.1947464094490554','1','19.47464094490554'
'0.7592999265620797','2','62.035003671896014'
'0.8891039523297907','1','11.089604767020933'
'1.3232646262739594','3','55.89117912420135'
'0.9395019771567079','1','6.049802284329209'
'1.5108470608474538','1','51.08470608474538'
'1.0888900244844582','3','63.703665850518064'
'1.1373802119711567','2','43.130989401442164'
'0.7925428671926458','1','20.745713280735423'
'0.9791283027977232','2','51.043584860113846'
'0.8739515675649867','1','12.604843243501328'
'0.8212314607011597','2','58.93842696494202'
'0.8068227408517694','2','59.65886295741153'
'0.8762008828903634','1','12.379911710963665'
'0.5419059533611446','2','72.90470233194277'
'1.2727933336457382','1','27.279333364573823'
'0.5992408236047168','1','40.07591763952833'
'0.5441531867771142','1','45.58468132228858'
'1.3316469155316475','1','33.16469155316475'
'1.028983462637055','1','2.898346263705509'
'0.8378289538922016','2','58.108552305389914'
'1.4175417080157986','2','29.12291459921007'
'0.6122140381095175','2','69.38929809452412'
'1.0656401835767377','2','46.71799082116311'
'1.041751931525409','2','47.91240342372956'
'0.8650554292394605','1','13.494457076053944'
'0.9476857168020716','3','68.4104761065976'
'1.00979682132923','4','74.75507946676925'
'0.6858806963454482','1','31.411930365455177'
'1.2893015787046833','4','67.76746053238291'
'0.6696022131261914','2','66.51988934369044'
'1.4336002171971252','3','52.21332609342916'
'0.8620325005665749','1','13.796749943342512'
'1.2018910092921193','1','20.189100929211932'
'0.5928395436623686','1','40.716045633763144'
'0.5123990421887019','1','48.760095781129806'
'1.1185014915767149','1','11.850149157671485'
'1.1293139063923416','1','12.931390639234163'
'0.9015872853182576','1','9.84127146817424'
